question,answer,question_type,image
 Which state is known as the ‘fruit bowl’ of India?,Himachal Pradesh,GK Questions For Class 2,
 What is the name of this beautiful monument?,Taj Mahal,GK Questions For Class 2,images/2.jpeg
 How many legs does a spider have?, Eight,GK Questions For Class 2,
 Name this famous Indian Cricketer.,Sachin Tendulkar,GK Questions For Class 2,images/3.jpeg
 Who is popularly known as the “Iron Man of India”?,Sardar Vallabh Bhai Patel ,GK Questions For Class 2,
 What is the sound made by a duck?,Quack quack,GK Questions For Class 2,
 The national currency of India is,Rupee,GK Questions For Class 2,
 The young one of a kangaroo is,Joey,GK Questions For Class 2,
 What is the sound made by a horse?,Neigh,GK Questions For Class 2,
 The young one of Elephant is,Calf,GK Questions For Class 2,
 Which river is infamous as the ‘Sorrow of Bengal”?,Damodar River,GK Questions For Class 2,
 _ is celebrated as the birth of Jesus Christ,Christmas,GK Questions For Class 2,
 Which is the harvest festival in Assam?,Bohag Bihu ,GK Questions For Class 2,
 Thiruvananthapuram is the capital of _.,Kerala,GK Questions For Class 2,
 Which is the national sport of India?,Hockey,GK Questions For Class 2,
 What does the heart pump?,Blood,GK Questions For Class 2,
 The longest river in India,Ganga,GK Questions For Class 2,
 Which is the national fruit of India?,Mango,GK Questions For Class 2,
 How many spokes does the wheel in Indian Flag have?,24 spokes,GK Questions For Class 2,
 Who is the first citizen of India?,President of India,GK Questions For Class 2,
 Where does a pig live?,Sty,GK Questions For Class 2,
 What is the name of this famous painting?,Mona Lisa,GK Questions For Class 2,images/4.jpeg
 How many cats can you see in this picture?,10 cats,GK Questions For Class 2,images/5.jpeg
 How do you relate to your maternal grandfather?,Mother’s father,GK Questions For Class 2,
A polygon with 5 sides is called a _________.,Pentagon,GK Questions For Class 3,
What is the young one of a kangaroo called?,Joey,GK Questions For Class 3,
What is the name of India’s highest mountain peak?,Kanchenjunga,GK Questions For Class 3,
The capital of Andaman & Nicobar Islands is ______.,Port Blair,GK Questions For Class 3,
"Which is the largest country in the world, in terms of area?",Russia,GK Questions For Class 3,
The two holes on the nose through which we breathe are called _________.,Nostrils,GK Questions For Class 3,
"In which country did the game, chess, originate?",India,GK Questions For Class 3,
The wheel in the center of Indian national flag has _____ spokes.,24,GK Questions For Class 3,
Who is the author of Harry Potter series of books?,J.K. Rowling,GK Questions For Class 3,
Who was known as “Human Computer”?,Shakuntala Devi,GK Questions For Class 3,
Name the instrument used to measure the speed of wind?,Anemometer,GK Questions For Class 3,
Name the smallest planet in our solar system?,Mercury,GK Questions For Class 3,
Any number multiplied by zero is ________.,Zero,GK Questions For Class 3,
Which is the largest four-digit number?,9999,GK Questions For Class 3,
Ganymede is the moon of which planet?,Jupiter,GK Questions For Class 3,
Who was the first person to land on the moon?,Jupiter,GK Questions For Class 3,
Who invented steam engine?,James Watt,GK Questions For Class 3,
Who was the first person to calculate the value of Pi?,Archimedes,GK Questions For Class 3,
In which country is Mount Everest situated?,Nepal,GK Questions For Class 3,
Which is the biggest coral reef in the world?,Great Barrier Reef,GK Questions For Class 3,
World’s largest rain forest is _________.,The Amazon,GK Questions For Class 3,
Which is the biggest part of the brain?,Cerebrum,GK Questions For Class 3,
_________ animals sleep during the day and stay awake at night.,Nocturnal animals,GK Questions For Class 3,
Animals that eat meat are called _________.,Carnivores,GK Questions For Class 3,
Name an insectivorous plant?,Venus Flytrap,GK Questions For Class 3,
A newborn baby has _______ bones.,300,GK Questions For Class 3,
How many millimeters make a meter?.,1000,GK Questions For Class 3,
How many millimeters make a meter?.,1000,GK Questions For Class 3,
What is an angle that has a value less than 90˚ called?,Acute angle,GK Questions For Class 3,
What is an angle that has a value greater than 90˚ called?,Obtuse angle,GK Questions For Class 3,
"When a number is multiplied by 1, the product would be ________.",The Same Number,GK Questions For Class 3,
What is the art of folding paper to create shapes called?,Origami,GK Questions For Class 3,
The flag of which country has a non-quadrilateral shape?,Nepal,GK Questions For Class 3,
The place where beehives of honeybees are kept is called?,Apiary,GK Questions For Class 3,
Which is the fastest land animal?,Cheetah,GK Questions For Class 3,
Which animal has a hump on its back?,Camel,GK Questions For Class 3,
Name a commonly found reptile?,Lizard,GK Questions For Class 3,
Which is the largest ocean in the world?,Pacific Ocean,GK Questions For Class 3,
Australia lies between which two oceans?,Indian Ocean and Pacific Ocean,GK Questions For Class 3,
Which is the coldest planet in our solar system?,Neptune,GK Questions For Class 3,
Where is food collected in the human body once it is chewed and swallowed?,Stomach,GK Questions For Class 3,
Which pigment is responsible for the green colour of leaves?,Stomach,GK Questions For Class 3,
Which Indian city is known as “Orange City”?,Nagpur,GK Questions For Class 3,
Which city is known as the “Financial Capital of India”?,Mumbai,GK Questions For Class 3,
Which country won the first T20 world cup?,India,GK Questions For Class 3,
Which planet in our solar system takes less than 10 hours to complete its one rotation?,Jupiter,GK Questions For Class 3,
Which planet is known as the “blue planet”?,Earth,GK Questions For Class 3,
Which star is closest to the Earth?,The Sun,GK Questions For Class 3,
Which is the most abundant gas found on Earth?,Nitrogen,GK Questions For Class 3,
The mixture consisting of molten rocks that flow out of a volcano during the volcanic eruption is called ________.,Lava,GK Questions For Class 3,
Earth requires ____ hours to complete one rotation.,24,GK Questions For Class 3,
What is the movement of Earth on its own axis resulting in day and night called?,Rotation,GK Questions For Class 3,
What is the movement of Earth around the Sun resulting in change of seasons called?,Revolution,GK Questions For Class 3,
The Earth is closest to the Sun during which season?,Summer,GK Questions For Class 3,
Name the galaxy our solar system is a part of?,Milky Way,GK Questions For Class 3,
Who invented video games?,Ralph Baer,GK Questions For Class 3,
Who invented postage stamp?,Rowland Hill,GK Questions For Class 3,
Which is the tallest animal in the world?,Giraffe,GK Questions For Class 3,
Which is the fastest bird in the world?,Ostrich,GK Questions For Class 3,
Which is the highest waterfall in the world?,Angel Falls,GK Questions For Class 3,
Who wrote the world famous children’s book—Jungle Book?,Rudyard Kipling,GK Questions For Class 3,
Who wrote the book “Chronicles of Narnia”?,C.S. Lewis,GK Questions For Class 3,
The book “Charlie and the Chocolate Factory” was written by _______.,Roald Dahl,GK Questions For Class 3,
Who wrote the popular children’s book “The Cat in The Hat”?,Dr. Suess,GK Questions For Class 3,
The book “The Very Hungry Caterpillar” was written by _________.,Eric Carle,GK Questions For Class 3,
How many years did the First World War (WWI) last?,Four (1914-1918),GK Questions For Class 3,
How many years did the Second World War (WWII) last?,Six (1939-1945),GK Questions For Class 3,
Distance between two countries is measured in __________.,Kilometers,GK Questions For Class 3,
In which country is the Eiffel Tower located?,France,GK Questions For Class 3,
Which number is neither prime nor composite?,1,GK Questions For Class 3,
5 times 20 equals to ______.,1000,GK Questions For Class 3,
How many months of a year have only 30 days?,"4 (April, June, September and November)",GK Questions For Class 3,
An octopus has _____ hearts.,Three,GK Questions For Class 3,
The Statue of Liberty is located in which city?,"New York, USA",GK Questions For Class 3,
Sunlight is the source of which vitamin?,Vitamin D,GK Questions For Class 3,
How many teeth does a human have?,32,GK Questions For Class 3,
On which planet do we live?,Earth,GK Questions For Class 3,
How many continents do we have?,Seven,GK Questions For Class 3,
What is the process in which plants make food known as?,Photosynthesis,GK Questions For Class 3,
How many bones do we have?,206,GK Questions For Class 3,
Name the biggest flower.,Rafflesia,GK Questions For Class 3,
The animals that eat only plants and herbs are called ____________.,Herbivores,GK Questions For Class 3,
Which country is known as the “Land of White Elephants”?,Thailand,GK Questions For Class 3,
Which is the biggest planet in our Solar System?,Jupiter,GK Questions For Class 3,
Who is the first woman to go to space?,Valentina Tereshkova,GK Questions For Class 3,
Identify the Historical monument,Charminar,GK Questions For Class 3,images/6.jpeg
Name the tallest building in the world.,"Burj Khalifa, UAE",GK Questions For Class 3,
Who invented the Light Bulb?,Thomas Alva Edison,GK Questions For Class 3,
In how many hours does earth complete one rotation?,24 hours,GK Questions For Class 3,
Who wrote the drama “Julius Caesar”?,William Shakespeare,GK Questions For Class 3,
Which is the highest mountain peak in the world?,Mount Everest,GK Questions For Class 3,
Who is known as the father of modern computers?,Charles Babbage,GK Questions For Class 3,
Which part of the computer is its Brain?,CPU,GK Questions For Class 3,
Name the longest river on earth.,Nile,GK Questions For Class 3,
Name three vegetables that grow under soil.,"Potato, Tapioca and Ginger",GK Questions For Class 3,
What is the value of Pi?,3.14,GK Questions For Class 3,
Which is the most widely spoken language in the world?,Mandarin (Chinese),GK Questions For Class 3,
Identify the scientist.,Albert Einstein,GK Questions For Class 3,images/7.jpeg
How many days are there in a Leap Year?,366,GK Questions For Class 3,
Name the Largest desert in the world.,Sahara Desert,GK Questions For Class 3,
Which is the largest island in the world?,Greenland,GK Questions For Class 4,
What is the name of the sword owned by King Arthur?,Excaliber,GK Questions For Class 4,
Who is known as “Nightingale of India”?,Sarojini Naidu,GK Questions For Class 4,
Who is known as the “father of geometry”?,Euclid,GK Questions For Class 4,
Who wrote the national song of India? (Vande Mataram),Bankim Chandra Chatterjee,GK Questions For Class 4,
When is National Girl Child Day celebrated in India?,January 24,GK Questions For Class 4,
A leap year has _____ days.,366,GK Questions For Class 4,
Taj Mahal is situated on the banks of which river?,Yamuna,GK Questions For Class 4,
Name the largest planet in our solar system,Jupiter,GK Questions For Class 4,
Our solar system consists of _____ planets,8,GK Questions For Class 4,
_____ is known as the brain of the computer.,CPU,GK Questions For Class 4,
_____ What is the full form of CPU?,Central Processing Unit,GK Questions For Class 4,
Which part of the human body has the smallest bone?,EAR,GK Questions For Class 4,
Penicillin was invented by ________.,Alexander Fleming,GK Questions For Class 4,
Saina Nehwal is related to which sport?,Badminton,GK Questions For Class 4,
Giza Pyramids situated in which country?,Egypt,GK Questions For Class 4,
Statue of liberty is situated in which city?,New York,GK Questions For Class 4,
Which is the most sensitive organ in the human body?,Skin,GK Questions For Class 4,
Computer was invented by _______.,Charles Babbage,GK Questions For Class 4,
Which animal is known as the ship of the desert?,Camel,GK Questions For Class 4,
An octagon has _____ sides.,8,GK Questions For Class 4,
Which colour represents peace?,White,GK Questions For Class 4,
How many players are there in a cricket team?,11,GK Questions For Class 4,
Which African country is famous for chocolate?,Ghana,GK Questions For Class 4,
Olympic Games are held every ____ years.,4,GK Questions For Class 4,
Which is the largest desert in the world?,Sahara Desert,GK Questions For Class 4,
Which is the tallest waterfall in the world?,Angel Falls,GK Questions For Class 4,
Which is the biggest animal in the world?,Antarctic Blue Whale,GK Questions For Class 4,
What is another name for Table Tennis?,Ping pong,GK Questions For Class 4,
Where will the 2024 Olympics be held?,Paris,GK Questions For Class 4,
Dipa Karmakar is associated with which sport?,Gymnastics,GK Questions For Class 4,
When was the first modern Olympics held?,"1896 (in Athens, Greece)",GK Questions For Class 4,
Where is leaning tower of Pisa located?,Italy,GK Questions For Class 4,
Where is Louvre Museum situated?,"Paris, France",GK Questions For Class 4,
Which river is nicknamed “Sorrow of China”?,Yellow River,GK Questions For Class 4,
"Where is world’s tallest building, Burj Khalifa, located?","Dubai, UAE",GK Questions For Class 4,
What was the name of the ISRO mission to Mars?,Mangalyaan,GK Questions For Class 4,
Who invented Java programming language?,James Gosling,GK Questions For Class 4,
Who is known as the father of C language?,Dennis Ritchie,GK Questions For Class 4,
What is the full form of bit?,Binary digit,GK Questions For Class 4,
What is the name of the supercomputer placed at Indian Institute of Tropical Meteorology (IITM)?,Pratyush,GK Questions For Class 4,
Which is the world’s fastest super computer?,Fugaku Supercomputer,GK Questions For Class 4,
Which number has no reciprocal?,1,GK Questions For Class 4,
A heptagon has _____ sides.,7,GK Questions For Class 4,
The sum of the angles of a triangle is _____.,180˚,GK Questions For Class 4,
Which blood cells in our body help to fight infections?,White Blood Cells,GK Questions For Class 4,
What is the full form of BMP?,Bit Map Picture,GK Questions For Class 4,
Monitor of a computer is an _______ device.,Output,GK Questions For Class 4,
How many oceans are there in the world?,7,GK Questions For Class 4,
In which country is Mount Everest located?,Nepal,GK Questions For Class 4,
What is the capital of Belgium?,Brussels,GK Questions For Class 4,
Who was the first President of India?,Dr Rajendra Prasad,GK Questions For Class 4,
Who invented telescope?,Galileo Galilei,GK Questions For Class 4,
Which is the smallest bird in the world?,Humming bird,GK Questions For Class 4,
Which is the largest country in terms of population?,China,GK Questions For Class 4,
Which is the largest delta in the world?,Sunderban delta (Ganges-Brahmaputra Delta),GK Questions For Class 4,
Durand Cup is related to which sport?,Football,GK Questions For Class 4,
World Red Cross Day is celebrated on ________.,May 8th,GK Questions For Class 4,
Which country is known as the “Land of Cakes”?,Scotland,GK Questions For Class 4,
Which is the world’s largest coral reef system?,The Great Barrier Reef,GK Questions For Class 4,
Which is the biggest bird in the world?,Ostrich,GK Questions For Class 4,
The Statue of Liberty was a gift to the USA from which country?,France,GK Questions For Class 4,
The largest moon of Saturn is ________.,Titan,GK Questions For Class 4,
The term “wicket” is related to which sport?,Cricket,GK Questions For Class 4,
Name an insect with colourful wings?,Butterfly,GK Questions For Class 4,
Which state is known as the Orchid Paradise of India?,Arunachal Pradesh,GK Questions For Class 4,
Name the acid present in apple,Malic acid,GK Questions For Class 4,
Which country awards Nobel Prize?,Sweden,GK Questions For Class 4,
What is the currency of Malaysia?,Malaysian Ringgit,GK Questions For Class 4,
Measurement of right angle is ___________.,90˚,GK Questions For Class 4,
What is a triangle with two equal sides called?,Isosceles triangle,GK Questions For Class 4,
Which metal is used to make the filament of an electric bulb?,Tungsten,GK Questions For Class 4,
How many consonants are there in the English alphabet?,73,GK Questions For Class 4,
Trout and Carp are types of _________.,Fish/strong>,GK Questions For Class 4,
A polygon with 8 sides is called __________.,Octagon,GK Questions For Class 4,
Which organ purifies our blood?,Kidney,GK Questions For Class 4,
The animal with a hump on its back is _?,Camel,GK Questions For Class 4,
The brain of a computer is _.,CPU,GK Questions For Class 4,
The largest continent is _.,Asia,GK Questions For Class 4,
Who wrote ‘Ramayana’?,Valmiki,GK Questions For Class 4,
How many bones are there in a newborn baby?,300,GK Questions For Class 4,
Martyrs’ Day is celebrated every year on _.,30th January,GK Questions For Class 4,
The fastest animal on earth is?,Cheetah,GK Questions For Class 4,
Earth Day celebrated on?,April 22nd,GK Questions For Class 4,
The National Tree of India is?,Banyan Tree,GK Questions For Class 4,
Which is the tallest animal in the world?,Giraffe,GK Questions For Class 4,
What is the full form of RAM?,Random Access Memory,GK Questions For Class 4,
Who wrote ‘Discovery of India’?,Jawaharlal Nehru,GK Questions For Class 4,
Which is the tallest statue in the world?,"The Statue of Unity, India",GK Questions For Class 4,
Young one of the horses is called?,Colt,GK Questions For Class 4,
How many players are there in a cricket team?,11,GK Questions For Class 4,
How many days does earth take to revolve around the sun?,365 days,GK Questions For Class 4,
The biggest sea animal is _.,Dolphin,GK Questions For Class 4,
Which is the largest desert in India?,Thar desert,GK Questions For Class 4,
Which is the densest jungle in the world?,Amazon,GK Questions For Class 4,
When is Teacher’s Day celebrated?,September 5th,GK Questions For Class 4,
A place where bees are kept is called _.,Aviary,GK Questions For Class 4,
How many sides are there in a pentagon?,Five,GK Questions For Class 4,
Which is the smallest state in India?,Goa,GK Questions For Class 4,
Who is the father of our Nation?,Mahatma Gandhi,GK Questions For Class 4,
Which is the 4th planet of our solar system?,Mars,GK Questions For Class 5,
Which is the largest river in the world?,Amazon,GK Questions For Class 5,
Name a plant that grows in the desert?,Cactus,GK Questions For Class 5,
Which is the brightest planet in the solar system?,Venus,GK Questions For Class 5,
A football team consists of how many members?,11,GK Questions For Class 5,
What is the young one of a cow called?,Calf,GK Questions For Class 5,
Which is the largest ocean in the world?,Pacific Ocean,GK Questions For Class 5,
The branch of science that deals with earthquakes is called ___________,Seismology,GK Questions For Class 5,
“Wings of Fire” is the autobiography of ______________,Dr. APJ Abdul Kalam,GK Questions For Class 5,
Which is the national bird of the USA?,Bald Eagle,GK Questions For Class 5,
The smallest bone in the human body is __________,Stapes (located in the ear),GK Questions For Class 5,
Which is the deepest oceanic trench in the world?,Mariana Trench,GK Questions For Class 5,
Name a country without an official capital?,Nauru,GK Questions For Class 5,
Name the capital of Romania?,Bucharest,GK Questions For Class 5,
Which is the largest plateau in the world?,Tibetan Plateau,GK Questions For Class 5,
Young one of a horse is called?,Foal,GK Questions For Class 5,
How many bones does an adult human body have?,206,GK Questions For Class 5,
"Who wrote the famous play, “Romeo and Juliet”?",William Shakespeare,GK Questions For Class 5,
Atacama Desert is located in which continent?,South America,GK Questions For Class 5,
Study of the universe is called?,Cosmology,GK Questions For Class 5,
Mt. Vesuvius is located in which country?,Italy,GK Questions For Class 5,
Who is known as the “Father of Indian Space Program”?,Vikram Sarabhai,GK Questions For Class 5,
Mt. Abu is located in?,India,GK Questions For Class 5,
What is the capital of Armenia?,Yerevan,GK Questions For Class 5,
"“B” in BRICS, an international organization, stands for?",Brazil,GK Questions For Class 5,
Where is Spratly Islands located?,South China Sea,GK Questions For Class 5,
Where is the headquarters of European Union located?,"Brussels, Belgium",GK Questions For Class 5,
In which city is the world’s largest port located?,Shanghai,GK Questions For Class 5,
For which event did Neeraj Chopra win a gold medal at the 2020 Tokyo Olympics?,Javelin throw,GK Questions For Class 5,
In which year did India win the first Cricket World Cup?,1983,GK Questions For Class 5,
In which year was South Asian Association for Regional Cooperation (SAARC) established?,1985,GK Questions For Class 5,
Which country is known as the “land of the blue sky”?,Mongolia,GK Questions For Class 5,
Richter Scale is used to measure _________,Magnitude of earthquakes,GK Questions For Class 5,
Coco Islands are located in which sea?,Bay of Bengal,GK Questions For Class 5,
Who wrote the book “Midnight’s children”?,Salman Rushdie,GK Questions For Class 5,
Who was the first person to go to space?,Yuri Gagarin,GK Questions For Class 5,
Which is the deepest lake in the world?,Lake Baikal,GK Questions For Class 5,
Name the device that provides power to the connected devices of a computer during power outages?,Uninterrupted Power Supply (UPS),GK Questions For Class 5,
What is the full form of URL?,Uniform Resource Locator,GK Questions For Class 5,
Who invented World Wide Web (www)?,Tim Berners-Lee,GK Questions For Class 5,
When did the Internet come into existence?,"January 1, 1983",GK Questions For Class 5,
"Where is the headquarters of Kaspersky Lab, the popular cyber security and anti-virus provider, located?",Moscow,GK Questions For Class 5,
Name the planet in our solar system that is known as the “Red Planet”,Mars,GK Questions For Class 5,
Name the scientist who discovered gravity?,Sir Isaac Newton,GK Questions For Class 5,
Whose birthday is celebrated as “Engineer’s Day” in India?,Sir M Visvesaraya,GK Questions For Class 5,
Between which planets does the asteroid belt exist in our solar system?,Mars and Jupiter,GK Questions For Class 5,
Who invented dynamite?,Alfred Nobel,GK Questions For Class 5,
"Name the country Alfred Nobel, the famous inventor, was born in?",Sweden,GK Questions For Class 5,
Which is the longest bone in the human body?,Femur (thigh bone),GK Questions For Class 5,
Who invented airplanes?,Wright brothers (Orville Wright and Wilbur Wright),GK Questions For Class 5,
Which galaxy does solar system belong to?,Milky Way,GK Questions For Class 5,
What is the speed of light in vacuum?,"3,00,000 km/sec",GK Questions For Class 5,
Which gas is commonly found in our universe?,Hydrogen,GK Questions For Class 5,
When is World Heritage Day celebrated?,April 18,GK Questions For Class 5,
Which is the smallest continent in the world?,Australia,GK Questions For Class 5,
Telephone was invented by ___________,Alexander Graham Bell,GK Questions For Class 5,
Who invented light bulb?,Thomas Alva Edison,GK Questions For Class 5,
Which is the national game of the USA?,Baseball,GK Questions For Class 5,
Which is the lightest gas?,Hydrogen,GK Questions For Class 5,
Branch of science that deals with scientific study of insects is known as _________,Entomology,GK Questions For Class 5,
Who invented the television?,John Logie Baird,GK Questions For Class 5,
Who was known as “Indian Napolean”?,Samudragupta,GK Questions For Class 5,
The total distance between the Sun and the Earth is ___________,149.6 Million km,GK Questions For Class 5,
Who formulated the theory of relativity?,Albert Einstein,GK Questions For Class 5,
Which mathematician is known as the “Prince of Indian Mathematics”?,Srinivasa Ramanujan,GK Questions For Class 5,
Sound cannot travel through _________,Vacuum,GK Questions For Class 5,
What is the full form of ROM?,Read-Only Memory,GK Questions For Class 5,
Name the smallest ocean in the world?,Arctic Ocean,GK Questions For Class 5,
Goitre is caused by the deficiency of?,Arctic Ocean,GK Questions For Class 5,
The term “LBW” is related to which sport?,Cricket,GK Questions For Class 5,
In which year did Christopher Columbus discover America?,1492,GK Questions For Class 5,
Which is the tallest mountain in the world?,Mount Everest,GK Questions For Class 5,
"The famous novel, Alice in Wonderland, was written by?",Lewis Carroll,GK Questions For Class 5,
"Name the ocean in which the famous ship, Titanic, had sunk?",North Atlantic Ocean,GK Questions For Class 5,
What is the scientific name of tomato?,Solanum lycopersicum,GK Questions For Class 5,
1024 kilobytes is equal to _.,1 Megabyte(MB),GK Questions For Class 5,
Who is Paulo Coelho?,Brazilian Novelist,GK Questions For Class 5,
A figure with 6 sides is known as ________.,Hexagon,GK Questions For Class 5,
What do UPS stand for?,Uninterrupted Power Supply,GK Questions For Class 5,
At which temperature does water boil?,100◦C,GK Questions For Class 5,
Name the acid in lemon.,Citric acid,GK Questions For Class 5,
Which is the first animal to land on the moon?,"Laika, The dog",GK Questions For Class 5,
Name the two Oceans in which Australia is sandwiched between?,The Indian Ocean and The Pacific Ocean,GK Questions For Class 5,
What do AM and PM stand for?,AM stands for Ante Meridiem and PM stands for Post Meridiem,GK Questions For Class 5,
Statue of Liberty is in _.,New York City,GK Questions For Class 5,
Name the five layers of Earth’s atmosphere.,"Exosphere, Thermosphere, Mesosphere, Stratosphere and Troposphere",GK Questions For Class 5,
Name the border of India and Pakistan.,Radcliffe Line ,GK Questions For Class 5,
What is Ablutophobia?,It is the Fear of Bathing,GK Questions For Class 5,
What is the full form of  HTTP?,Hypertext Transfer Protocol,GK Questions For Class 5,
Identify the Tennis Player.,Roger Federer,GK Questions For Class 5,images/8.jpeg
Which is the coldest planet in our solar system?,Neptune,GK Questions For Class 5,
Which gas is known as “Laughing gas”?,Nitrous Oxide,GK Questions For Class 5,
Name the largest temple in the World.,Angkor Wat,GK Questions For Class 5,
Which of the following is not a component of chlorophyll?  a) Magnesium b)  Carbon c) Calcium d) None of These,C. Calcium,GK Questions For Class 5,
Which is the largest freshwater lake in the world?,Lake Baikal,GK Questions For Class 5,
What is the full form of MBBS?,Bachelor of Medicine and Bachelor of Surgery,GK Questions For Class 5,
Who is the founder of Buddhism?,Siddhartha Gautama,GK Questions For Class 5,
What is the capital of Italy?,Rome,GK Questions For Class 5,
When is UN day celebrated?,October 24,GK Questions For Class 5,
Who is the fastest man in the world?,Usain Bolt,GK Questions For Class 6,
In which year was the Battle of Plassey fought?,1757,GK Questions For Class 6,
At which age Gautham Buddha got Nirvana?,35,GK Questions For Class 6,
Who is known as the father of history?,Herodotus,GK Questions For Class 6,
What was the ancient name of Patna?,Pataliputra,GK Questions For Class 6,
What is the square root of 144?,12,GK Questions For Class 6,
Who gave the slogan “Do or Die”?,Mahatma Gandhi,GK Questions For Class 6,
Why are the leaves green in color?,Due to the presence of Chlorophyll,GK Questions For Class 6,
Name the acid that is secreted in the stomach?,Hydrochloric acid,GK Questions For Class 6,
Which is the highest civilian award of the Republic of India?,The Bharat Ratna Award,GK Questions For Class 6,
WWW stands for?,World Wide Web,GK Questions For Class 6,
World Environment Day is celebrated on _.,June 5,GK Questions For Class 6,
Plants that develop in dry conditions are,Xerophytes,GK Questions For Class 6,
Where is ‘Great Bear Lake’ found in the world?,Canada ,GK Questions For Class 6,
What is the full form of Wifi?,Wireless Fidelity,GK Questions For Class 6,
Who is the writer of ‘Panchathantra’?,Vishnu Sharma,GK Questions For Class 6,
Who is the 14th President of India?,Ram Nath Govind,GK Questions For Class 6,
Which is the biggest bone in the human body?,Femur,GK Questions For Class 6,
Who was the inventor of the light bulb?,Thomas Alwa Edison,GK Questions For Class 6,images/9.jpeg
Opium is obtained from the dry latex from which part of the Papaver somniferum Plant?,Poppy,GK Questions For Class 6,
Which Vitamin helps to heal the wound,Vitamin C,GK Questions For Class 6,
Which is the mineral found in teeth and limestones?,Calcium,GK Questions For Class 6,
Who was at the helm of the Philadelphia Phillies in the 2011 season?,Charlie Manuel,GK Questions For Class 6,
Which is the largest lake in Japan?,Biwa,GK Questions For Class 6,
What is the weight of a cricket ball?,5.75 ounces,GK Questions For Class 6,
Which is the only even prime number?,2,GK Questions For Class 6,
Who invented the number zero?,Aryabhatta,GK Questions For Class 6,
How many degrees are there in a circle?,360,GK Questions For Class 6,
What is the shape of dice?,Cube,GK Questions For Class 6,
How many decimal points are there in a number?,One,GK Questions For Class 6,
How many seconds are there in an hour?,3600,GK Questions For Class 6,
A triangle with all side equal is called_?,Equilateral triangle,GK Questions For Class 6,
Which is the first odd composite number?,33,GK Questions For Class 6,
What is a polygon with five sides called?,Pentagon,GK Questions For Class 6,
How many years is a decade?,Ten,GK Questions For Class 6,
A raindrop is of which geometric shape?,Sphere,GK Questions For Class 6,
What is the approximate value of pi?,3.14,GK Questions For Class 6,
90 minutes amount to ___ hours?,1.5,GK Questions For Class 6,
What is the value of Golden Ratio?,1.618,GK Questions For Class 6,
What is a triangle with all three sides of different lengths called?,Scalene triangle,GK Questions For Class 6,
Which polygon has opposite sides and angles equal?,Parallelogram,GK Questions For Class 6,
Which number is neither prime nor composite?,1,GK Questions For Class 6,
A polygon with all four sides and angles equal is called___?,Square,GK Questions For Class 6,
How many seconds are there in a day?,86400,GK Questions For Class 6,
How many sides does the base of a pyramid have?,4,GK Questions For Class 6,
Fourth Buddhist council held during the reign of which emperor?,Kanishka,GK Questions For Class 6,
In which year did Mahatma Gandhi start Dandi March?,1930,GK Questions For Class 6,
Who is the founder of Chola Dynasty?,Vijayalaya,GK Questions For Class 6,
Which was the first animal to go to space?,Dog,GK Questions For Class 6,
Zawar mines are located in which Indian state?,Rajasthan,GK Questions For Class 6,
Which country is the first in Asia to launch a plastics pact?,India,GK Questions For Class 6,
What is the capital of Finland?,Helsinki,GK Questions For Class 6,
Ozone layer is in which layer of the atmosphere?,Stratosphere,GK Questions For Class 6,
What is the capital of Morocco?,Mozambique,GK Questions For Class 6,
Which is the longest river in the world?,Nile,GK Questions For Class 6,
Mount Aconcagua is located in which mountain ranges?,Andes,GK Questions For Class 6,
Which Indian state was the first to introduce the “Oak Tussar Industry”?,Manipur,GK Questions For Class 6,
National Research Centre on Yak (NRCY) is located in which Indian state?,"Arunachal Pradesh
",GK Questions For Class 6,
Which is the largest river on Earth?,"Amazon river
",GK Questions For Class 6,
Which is the most spoken language in the world?,Mandarin Chinese,GK Questions For Class 6,
Which is the highest mountain peak of India?,Kanchenjunga,GK Questions For Class 6,
Who was the first president of the USA?,George Washington,GK Questions For Class 6,
How many fundamental rights are mentioned in the Indian Constitution?,6,GK Questions For Class 6,
Who is popularly known as the Napolean of India?,Samudragupta,GK Questions For Class 6,
Who was known as Punjab Kesari?,Lala Lajpat Rai,GK Questions For Class 6,
When is World Health Day observed?,April 7,GK Questions For Class 6,
What was the theme of World Health Day 2022?,"Our Planet, Our Health",GK Questions For Class 6,
October,"Our Planet, Our Health",GK Questions For Class 6,
Which planet is known as the Morning/Evening star?,Venus,GK Questions For Class 6,
Which continent invests the most in solar power?,Asia,GK Questions For Class 6,
Who won the 2022 International Women of Courage Award?,Rizwana Hassan,GK Questions For Class 6,
What is the theme for World Wildlife Day 2022?,Recovering key species for ecosystem restoration,GK Questions For Class 6,
What is the name of ISRO’s new humanoid robot that will go to space next?,Vyommitra,GK Questions For Class 6,
Which country is known as the Pearl of the Orient Seas?,"Philippines
",GK Questions For Class 6,
Who is known as the father of Indian nuclear program?,Homi J Bhabha,GK Questions For Class 6,
Who invented radio?,Guglielmo Marconi,GK Questions For Class 6,
Which is the longest river in Europe?,Volga River,GK Questions For Class 6,
Which was the first metal used by Harappan civilization?,Copper,GK Questions For Class 6,
Thomas Cup is related to which sport?,"Badminton
",GK Questions For Class 6,
How many players are there in an ice hockey team?,Six,GK Questions For Class 6,
Ryder Cup is related to which sport?,Golf,GK Questions For Class 6,
Which country invented paper?,China,GK Questions For Class 6,
